""	"Gene"	"AGI_accession"	"Annotation"	"ProteinType"	"NumberOfDomains"
"220"	"AT1G24270.1"	"At1g24270"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"221"	"AT1G24340.1"	"At1g24340"	"putative demethoxyubiquinone hydroxylase (AtEMB2421)"	"membrane protein"	"2"
"222"	"AT1G24380.1"	"At1g24380"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"223"	"AT1G24570.1"	"At1g24570"	"protein of unknown function"	"membrane protein"	"1"
"224"	"AT1G24610.1"	"At1g24610"	"putative SET protein lysine N-methyltransferase (AtSETD3)"	"soluble or peripheral protein"	"0"
"225"	"AT1G24793.1"	"At1g24793"	"putative UDP-3-O-acyl N-acetylglucosamine deacetylase (AtLpxC1)"	"soluble or peripheral protein"	"0"
"226"	"AT1G24880.1"	"At1g24880"	"putative UDP-3-O-acyl N-acetylglucosamine deacetylase (AtLpxC2)"	"soluble or peripheral protein"	"0"
"227"	"AT1G25054.1"	"At1g25054"	"putative UDP-3-O-acyl N-acetylglucosamine deacetylase (AtLpxC3)"	"soluble or peripheral protein"	"0"
"228"	"AT1G25145.1"	"At1g25145"	"putative UDP-3-O-acyl N-acetylglucosamine deacetylase (AtLpxC4)"	"soluble or peripheral protein"	"0"
"229"	"AT1G25210.1"	"At1g25210"	"putative UDP-3-O-acyl N-acetylglucosamine deacetylase (AtLpxC5)"	"soluble or peripheral protein"	"0"
"230"	"AT1G25240.1"	"At1g25240"	"putative clathrin assembly protein (AtPICALM9b)"	"membrane protein"	"2"
"231"	"AT1G25360.1"	"At1g25360"	"putative organelle RNA editing factor (AtOTP90)"	"soluble or peripheral protein"	"0"
"232"	"AT1G25375.1"	"At1g25375"	"putative beta-lactamase-like hydrolase"	"soluble or peripheral protein"	"0"
"233"	"AT1G25380.1"	"At1g25380"	"putative NAD+ carrier protein (AtNDT2)"	"membrane protein"	"6"
"234"	"AT1G25420.1"	"At1g25420"	"putative (yeast IST1)-like protein, affects ESCRT-mediated endosomal trafficking (AtISTL2)"	"soluble or peripheral protein"	"0"
"235"	"AT1G26180.1"	"At1g26180"	"putative membrane protein of unknown function"	"membrane protein"	"7"
"236"	"AT1G26190.1"	"At1g26190"	"putative TTM-type metal-dependent tripolyphosphatase (AtTTM2)"	"membrane protein"	"2"
"237"	"AT1G26460.1"	"At1g26460"	"protein of unknown function, contains pentatricopeptide (PPR) repeat"	"soluble or peripheral protein"	"0"
"238"	"AT1G26500.1"	"At1g26500"	"putative PPR-type organelle RNA processing factor"	"soluble or peripheral protein"	"0"
"239"	"AT1G26740.1"	"At1g26740"	"putative L32-type protein of 60S ribosomal subunit"	"soluble or peripheral protein"	"0"
"240"	"AT1G26750.1"	"At1g26750"	"putative component mS23 of small subunit of mitochondrial ribosome (AtmS23)"	"soluble or peripheral protein"	"0"
"241"	"AT1G26900.1"	"At1g26900"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"242"	"AT1G27000.1"	"At1g27000"	"protein of unknown function"	"membrane protein"	"1"
"243"	"AT1G27160.1"	"At1g27160"	"putative valyl-tRNA synthetase"	"soluble or peripheral protein"	"0"
"244"	"AT1G27180.1"	"At1g27180"	"putative TNL-type NLR pathogen effector recognition protein"	"soluble or peripheral protein"	"0"
"245"	"AT1G27385.1"	"At1g27385"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"246"	"AT1G27390.1"	"At1g27390"	"putative receptor component of mitochondrial outer membrane translocase...(AtTOM20-2)"	"membrane protein"	"2"
"247"	"AT1G27435.1"	"At1g27435"	"putative component bL31M of large subunit of mitochondrial ribosome (AtmtRPL31b)"	"soluble or peripheral protein"	"0"
"248"	"AT1G27550.1"	"At1g27550"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"249"	"AT1G27580.1"	"At1g27580"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"250"	"AT1G27690.1"	"At1g27690"	"putative BDR effector of ROP GTPase (AtBDR3)"	"soluble or peripheral protein"	"0"
"251"	"AT1G27870.1"	"At1g27870"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"252"	"AT1G28000.1"	"At1g28000"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"253"	"AT1G28210.1"	"At1g28210"	"putative Hsp40/DnaJ molecular co-chaperone (AtDjA9/AtJ1)"	"soluble or peripheral protein"	"0"
"254"	"AT1G28327.1"	"At1g28327"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"255"	"AT1G28395.1"	"At1g28395"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"256"	"AT1G28510.1"	"At1g28510"	"putative OPA3-type protein of unknown function"	"membrane protein"	"1"
"257"	"AT1G28690.1"	"At1g28690"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"258"	"AT1G28960.1"	"At1g28960"	"putative NUDIX CoA hydrolase (AtNUDX15/AtNUDT15)"	"membrane protein"	"1"
"259"	"AT1G29300.1"	"At1g29300"	"protein involved in double fertilization forming a zygote and endosperm (AtUNE1)"	"soluble or peripheral protein"	"0"
"260"	"AT1G29340.1"	"At1g29340"	"putative U-box-type E3 ubiquitin ligase (AtPUB17)"	"soluble or peripheral protein"	"0"
"261"	"AT1G29420.1"	"At1g29420"	"putative SAUR-type hormone signal effector (AtSAUR61)"	"soluble or peripheral protein"	"0"
"262"	"AT1G29430.1"	"At1g29430"	"putative SAUR-type hormone signal effector (AtSAUR62)"	"soluble or peripheral protein"	"0"
"263"	"AT1G29440.1"	"At1g29440"	"putative SAUR-type hormone signal effector (AtSAUR63)"	"soluble or peripheral protein"	"0"
"264"	"AT1G29450.1"	"At1g29450"	"putative SAUR-type hormone signal effector (AtSAUR64)"	"soluble or peripheral protein"	"0"
"265"	"AT1G29460.1"	"At1g29460"	"putative SAUR-type hormone signal effector (AtSAUR65)"	"soluble or peripheral protein"	"0"
"266"	"AT1G29490.1"	"At1g29490"	"putative SAUR-type hormone signal effector (AtSAUR68)"	"soluble or peripheral protein"	"0"
"267"	"AT1G29500.1"	"At1g29500"	"putative SAUR-type hormone signal effector (AtSAUR66)"	"soluble or peripheral protein"	"0"
"268"	"AT1G29510.1"	"At1g29510"	"putative SAUR-type hormone signal effector (AtSAUR67)"	"soluble or peripheral protein"	"0"
"269"	"AT1G29540.1"	"At1g29540"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"270"	"AT1G29710.1"	"At1g29710"	"putative organelle RNA editing factor (AtDYW4)"	"soluble or peripheral protein"	"0"
"271"	"AT1G29770.1"	"At1g29770"	"putative NIF-type phosphatase-like protein"	"soluble or peripheral protein"	"0"
"272"	"AT1G29780.1"	"At1g29780"	"putative NIF-type phosphatase-like protein"	"soluble or peripheral protein"	"0"
"273"	"AT1G29810.1"	"At1g29810"	"putative pterin-4-alpha-carbinolamine dehydratase (AtPDL2)"	"soluble or peripheral protein"	"0"
"274"	"AT1G29960.1"	"At1g29960"	"component of mitochondrial inner membrane protease (AtIMP1-2)"	"soluble or peripheral protein"	"0"
"275"	"AT1G30010.1"	"At1g30010"	"putative type-I-maturase-like intron splicing factor (AtnMat1)"	"soluble or peripheral protein"	"0"
"276"	"AT1G30090.1"	"At1g30090"	"putative F-BOX substrate adaptor of SCF ubiquitin protein ligase complex"	"soluble or peripheral protein"	"0"
"277"	"AT1G30170.1"	"At1g30170"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"278"	"AT1G30370.1"	"At1g30370"	"putative PLA1-type phospholipase (AtPLA1-III)"	"soluble or peripheral protein"	"0"
"279"	"AT1G30680.1"	"At1g30680"	"putative organellar DNA helicase and DNA primase (AtTWINKLE)"	"soluble or peripheral protein"	"0"
"280"	"AT1G30825.1"	"At1g30825"	"putative p34-Arc-like component of Arp2/3 actin polymerization control...(AtARPC2A/AtDIS2)"	"soluble or peripheral protein"	"0"
"281"	"AT1G30960.1"	"At1g30960"	"putative (bacteria Era)-like GTPase (AtERA2/AtERG2)"	"soluble or peripheral protein"	"0"
"282"	"AT1G31000.1"	"At1g31000"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"283"	"AT1G31760.1"	"At1g31760"	"putative component of SWI-B-type chromatin-remodeling complex (AtSWIB5)"	"soluble or peripheral protein"	"0"
"284"	"AT1G31817.1"	"At1g31817"	"putative component uS11M of small subunit of mitochondrial ribosome (AtmtRPS11)"	"soluble or peripheral protein"	"0"
"285"	"AT1G31950.1"	"At1g31950"	"putative terpene synthase (AtTPS29)"	"soluble or peripheral protein"	"0"
"286"	"AT1G31990.1"	"At1g31990"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"287"	"AT1G32260.1"	"At1g32260"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"288"	"AT1G32350.1"	"At1g32350"	"alternative oxidase (AtAOx1d)"	"membrane protein"	"2"
"289"	"AT1G32415.1"	"At1g32415"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"290"	"AT1G32470.1"	"At1g32470"	"putative H-protein component of glycine decarboxylase complex (AtGDH3/AtGDC-H1)"	"soluble or peripheral protein"	"0"
"291"	"AT1G32580.1"	"At1g32580"	"putative organellar RNA editing factor protein (AtMORF5/AtRIP5)"	"soluble or peripheral protein"	"0"
"292"	"AT1G32670.1"	"At1g32670"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"293"	"AT1G32710.1"	"At1g32710"	"putative subunit VIb of cytochrome c oxidase"	"soluble or peripheral protein"	"0"
"294"	"AT1G32920.1"	"At1g32920"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"295"	"AT1G32928.1"	"At1g32928"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"296"	"AT1G32980.1"	"At1g32980"	"putative subtilisin-like serine protease"	"soluble or peripheral protein"	"0"
"297"	"AT1G33270.1"	"At1g33270"	"putative (animal ATGL)-like phospholipase (AtATGL-L)"	"soluble or peripheral protein"	"0"
"298"	"AT1G33330.1"	"At1g33330"	"putative ribosome release factor"	"soluble or peripheral protein"	"0"
"299"	"AT1G33350.1"	"At1g33350"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"300"	"AT1G33360.1"	"At1g33360"	"putative regulatory component of Clp-type protease (AtClpX3)"	"soluble or peripheral protein"	"0"
"301"	"AT1G33750.1"	"At1g33750"	"putative terpene synthase (AtTPS22)"	"soluble or peripheral protein"	"0"
"302"	"AT1G34042.1"	"At1g34042"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"303"	"AT1G34160.1"	"At1g34160"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"304"	"AT1G34360.1"	"At1g34360"	"putative mitochondrial translation initiation factor (AtIF3-1)"	"soluble or peripheral protein"	"0"
"305"	"AT1G34440.1"	"At1g34440"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"306"	"AT1G34470.1"	"At1g34470"	"putative ENOR3-like membrane protein of unknown function (AtENOR3L5)"	"membrane protein"	"9"
"307"	"AT1G35250.1"	"At1g35250"	"putative thioesterase"	"soluble or peripheral protein"	"0"
"308"	"AT1G35510.1"	"At1g35510"	"putative GT106/OFUT-type glycosyltransferase (AtOFUT9)"	"membrane protein"	"3"
"309"	"AT1G36078.1"	"At1g36078"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"310"	"AT1G36310.1"	"At1g36310"	"putative (yeast TRM9)-like component of TRM9-TRM112 tRNA..."	"soluble or peripheral protein"	"0"
"311"	"AT1G36942.1"	"At1g36942"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"312"	"AT1G42440.1"	"At1g42440"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"313"	"AT1G43005.1"	"At1g43005"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"314"	"AT1G43010.1"	"At1g43010"	"putative PPR-type organelle RNA editing factor"	"soluble or peripheral protein"	"0"
"315"	"AT1G43040.1"	"At1g43040"	"putative SAUR-type hormone signal effector (AtSAUR58)"	"soluble or peripheral protein"	"0"
"316"	"AT1G43600.1"	"At1g43600"	"putative NIF-type phosphatase-like protein"	"soluble or peripheral protein"	"0"
"317"	"AT1G43610.1"	"At1g43610"	"putative NIF-type phosphatase-like protein"	"soluble or peripheral protein"	"0"
"318"	"AT1G43624.1"	"At1g43624"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"319"	"AT1G43760.1"	"At1g43760"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"320"	"AT1G44090.1"	"At1g44090"	"putative DOXC-class gibberellin 20-oxidase involved in gibberellin synthesis (AtGa20ox5)"	"soluble or peripheral protein"	"0"
"321"	"AT1G44160.1"	"At1g44160"	"putative DnaJ-chaperone-related protein (AtDnaJF2)"	"soluble or peripheral protein"	"0"
"322"	"AT1G44414.1"	"At1g44414"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"323"	"AT1G44740.1"	"At1g44740"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"324"	"AT1G44760.1"	"At1g44760"	"putative UspA-like stress-responsive protein"	"soluble or peripheral protein"	"0"
"325"	"AT1G44890.1"	"At1g44890"	"putative Alb3/Oxa1/YidC-type membrane protein insertase-like protein (AtOxa6.1)"	"membrane protein"	"3"
"326"	"AT1G44940.1"	"At1g44940"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"327"	"AT1G44941.1"	"At1g44941"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"328"	"AT1G45110.1"	"At1g45110"	"putative tetrapyrrole methylase"	"soluble or peripheral protein"	"0"
"329"	"AT1G45170.1"	"At1g45170"	"putative OEP24-type outer membrane porin"	"membrane protein"	"Beta-barrel"
"330"	"AT1G45332.1"	"At1g45332"	"putative type 2 translation elongation factor"	"soluble or peripheral protein"	"0"
"331"	"AT1G46984.1"	"At1g46984"	"putative F-BOX substrate adaptor of SCF ubiquitin protein ligase complex"	"soluble or peripheral protein"	"0"
"332"	"AT1G47056.1"	"At1g47056"	"putative substrate adaptor of SCF ubiquitin ligase (AtVFB1)"	"soluble or peripheral protein"	"0"
"333"	"AT1G47260.1"	"At1g47260"	"putative plant-specific component CA of carbonic anhydrase module of NADH...(AtCA2)"	"soluble or peripheral protein"	"0"
"334"	"AT1G47265.1"	"At1g47265"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"335"	"AT1G47271.1"	"At1g47271"	"protein of unknown function, contains CBS domain"	"soluble or peripheral protein"	"0"
"336"	"AT1G47278.1"	"At1g47278"	"putative component mS86 of small subunit of mitochondrial ribosome (AtmS86)"	"soluble or peripheral protein"	"0"
"337"	"AT1G47340.1"	"At1g47340"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"338"	"AT1G47420.1"	"At1g47420"	"putative component of mitochondrial respiratory chain complex II (AtSDH5)"	"soluble or peripheral protein"	"0"
"339"	"AT1G47720.1"	"At1g47720"	"putative organellar single-stranded DNA-binding protein (AtOSB1)"	"soluble or peripheral protein"	"0"
"340"	"AT1G47765.1"	"At1g47765"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"341"	"AT1G48030.1"	"At1g48030"	"mitochondrial dihydrolipoamide dehydrogenase (AtmtLPD1/AtGDC-L1)"	"soluble or peripheral protein"	"0"
"342"	"AT1G48060.1"	"At1g48060"	"protein of unknown function, contains F-box domain"	"soluble or peripheral protein"	"0"
"343"	"AT1G48200.1"	"At1g48200"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"344"	"AT1G48325.1"	"At1g48325"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"345"	"AT1G48330.1"	"At1g48330"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"346"	"AT1G48360.1"	"At1g48360"	"putative FANCD2/FANCI-associated DNA repair nuclease (AtFAN1)"	"soluble or peripheral protein"	"0"
"347"	"AT1G48510.1"	"At1g48510"	"putative SURFEIT cytochrome c oxidase assembly protein (AtSURF1b)"	"membrane protein"	"3"
"348"	"AT1G48590.1"	"At1g48590"	"putative mediator of PYR/PYL abscisic acid receptor docking to membrane (AtCAR5)"	"soluble or peripheral protein"	"0"
"349"	"AT1G48598.1"	"At1g48598"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"350"	"AT1G48650.1"	"At1g48650"	"putative DExH-box helicase (AtDexH3)"	"soluble or peripheral protein"	"0"
"351"	"AT1G48700.1"	"At1g48700"	"putative nucleoplasmic CP-type epigenetic repressor, CUPULIFORMIS (AtCP5)"	"soluble or peripheral protein"	"0"
"352"	"AT1G48800.1"	"At1g48800"	"putative terpene synthase (AtTPS28)"	"soluble or peripheral protein"	"0"
"353"	"AT1G48820.1"	"At1g48820"	"putative terpene synthase"	"soluble or peripheral protein"	"0"
"354"	"AT1G48970.1"	"At1g48970"	"putative regulatory subunit delta of eIF2B guanine nucleotide exchange factor"	"soluble or peripheral protein"	"0"
"355"	"AT1G49140.1"	"At1g49140"	"putative component PDSW/NDUFB10 of NADH dehydrogenase beta subcomplex (AtPDSW-2)"	"soluble or peripheral protein"	"0"
"356"	"AT1G49410.1"	"At1g49410"	"mitochondrial outer membrane translocase component (AtTOM6)"	"membrane protein"	"1"
"357"	"AT1G49530.1"	"At1g49530"	"putative isoprenyl diphosphate synthase (AtIDS1/AtGGPS1)"	"soluble or peripheral protein"	"0"
"358"	"AT1G49630.1"	"At1g49630"	"organellar targeting peptide degrading protease (AtPreP2)"	"soluble or peripheral protein"	"0"
"359"	"AT1G49650.1"	"At1g49650"	"putative carboxylesterase (AtCXE4)"	"soluble or peripheral protein"	"0"
"360"	"AT1G49880.1"	"At1g49880"	"putative sulfhydryl oxidase (AtERV1)"	"soluble or peripheral protein"	"0"
"361"	"AT1G49938.1"	"At1g49938"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"362"	"AT1G50140.1"	"At1g50140"	"putative AAA-type ATPase associated with unknown cellular activities"	"soluble or peripheral protein"	"0"
"363"	"AT1G50200.1"	"At1g50200"	"putative alanyl-tRNA synthetase (AtAlaTS1)"	"soluble or peripheral protein"	"0"
"364"	"AT1G50400.1"	"At1g50400"	"putative mitochondrial outer membrane translocase component (AtTOM40-2)"	"membrane protein"	"Beta-barrel"
"365"	"AT1G50460.1"	"At1g50460"	"putative hexokinase (AtHKL1)"	"soluble or peripheral protein"	"0"
"366"	"AT1G50691.1"	"At1g50691"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"367"	"AT1G50760.1"	"At1g50760"	"protein of unknown function"	"soluble or peripheral protein"	"0"
"368"	"AT1G50840.1"	"At1g50840"	"putative organellar DNA polymerase (AtPOP1/AtPOLIb)"	"soluble or peripheral protein"	"0"
"369"	"AT1G50940.1"	"At1g50940"	"putative alpha-subunit of electron transfer flavoprotein (AtETF-alpha)"	"soluble or peripheral protein"	"0"
"370"	"AT1G51150.1"	"At1g51150"	"putative Deg-type protease (AtDeg6)"	"soluble or peripheral protein"	"0"
"371"	"AT1G51210.1"	"At1g51210"	"UDP-dependent glycosyl transferase (AtUGT89A1)"	"soluble or peripheral protein"	"0"
"372"	"AT1G51390.1"	"At1g51390"	"putative iron-sulfur cluster trafficking factor (AtNFU5)"	"soluble or peripheral protein"	"0"
"373"	"AT1G51490.1"	"At1g51490"	"putative thioglucoside glucohydrolase (AtBGLU36/AtTGG6)"	"soluble or peripheral protein"	"0"
"374"	"AT1G51610.1"	"At1g51610"	"putative CDF-type metal cation transporter (AtMTP7/AtMTPc4)"	"membrane protein"	"6"
"375"	"AT1G51650.1"	"At1g51650"	"epsilon subunit of mitochondrial ATP synthase peripheral MF1 subcomplex (AtmtATP-epsilon)"	"soluble or peripheral protein"	"0"
"376"	"AT1G51900.1"	"At1g51900"	"putative (yeast IST1)-like protein, affects ESCRT-mediated endosomal...(AtISTL12)"	"soluble or peripheral protein"	"0"
"377"	"AT1G51965.1"	"At1g51965"	"putative mitochondrial nad2 mRNA splicing factor (AtABO5)"	"soluble or peripheral protein"	"0"
"378"	"AT1G51980.1"	"At1g51980"	"putative component of core subcomplex of cytochrome c reductase complex (AtMPPa1)"	"soluble or peripheral protein"	"0"
